"194352M537";"192.168.149.37";"12"
"194352M576";"192.168.149.76";"12"
"194352M212";"192.168.146.12";"12"
"194352M384";"192.168.147.84";"12"
"194352M539";"192.168.149.39";"9"
"194352M321";"192.168.147.21";"7"
"194352M340";"192.168.147.40";"7"
"194352M314";"192.168.147.14";"7"
"194352M448";"192.168.148.48";"6"
"194352M363";"192.168.147.63";"6"
"194352M027";"192.168.144.27";"6"
"194352M488";"192.168.148.88";"6"
"194352M273";"192.168.146.73";"6"
"194352M151";"192.168.145.51";"6"
"194352M287";"192.168.146.87";"4"
"194352M535";"192.168.149.35";"4"
"194352M650";"192.168.150.50";"3"
"194352M355";"192.168.147.55";"3"
"194352M537";"192.168.149.37";"12"
"194352M576";"192.168.149.76";"12"
"194352M212";"192.168.146.12";"12"
"194352M384";"192.168.147.84";"12"
"194352M539";"192.168.149.39";"9"
"194352M321";"192.168.147.21";"7"
"194352M340";"192.168.147.40";"7"
"194352M314";"192.168.147.14";"7"
"194352M448";"192.168.148.48";"6"
"194352M363";"192.168.147.63";"6"
"194352M027";"192.168.144.27";"6"
"194352M488";"192.168.148.88";"6"
"194352M273";"192.168.146.73";"6"
"194352M151";"192.168.145.51";"6"
"194352M287";"192.168.146.87";"4"
"194352M535";"192.168.149.35";"4"
"194352M650";"192.168.150.50";"3"
"194352M355";"192.168.147.55";"3"
"194352M384";"192.168.147.84";"12"
"194352M576";"192.168.149.76";"12"
"194352M537";"192.168.149.37";"12"
"194352M212";"192.168.146.12";"12"
"194352M539";"192.168.149.39";"9"
"194352M340";"192.168.147.40";"7"
"194352M321";"192.168.147.21";"7"
"194352M314";"192.168.147.14";"7"
"194352M273";"192.168.146.73";"6"
"194352M151";"192.168.145.51";"6"
"194352M488";"192.168.148.88";"6"
"194352M363";"192.168.147.63";"6"
"194352M448";"192.168.148.48";"6"
"194352M027";"192.168.144.27";"6"
"194352M535";"192.168.149.35";"4"
"194352M287";"192.168.146.87";"4"
"194352M650";"192.168.150.50";"3"
"194352M355";"192.168.147.55";"3"
